id,display_name,lane,instrument_family,strategy_family,version,parent_id,credibility_tier,status,role,rules_frozen,paper_forward_active,implementation_status,data_source,evidence_source,latest_evidence_path,latest_known_result_summary,allowed_next_action,forbidden_next_actions,promotion_requirements,demotion_or_kill_criteria,notes,strategy_id,family,instrument_lane,evidence_tier,current_status,allowed_next_actions,candidate_exhaustive_run,candidate_exhaustive_recommended,promotion_review_required,promotion_decision,promotion_reason,primary_failure_mode,duplication_risk,risk_budget_status,evidence_needed,duplicate_of,blocked_reason,risk_framework_status,paper_forward_allowed_by_risk_framework,promotion_blockers
SPY_200d_exposure_frontier_1_15x_v1,SPY 200-Day Exposure Frontier 1.15x,compact_challenge,ETF simulated exposure,SPY_200d exposure frontier diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,too_risky,risk_budget_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_exposure_frontier,evidence/challenge_runs/latest/,"Target odds improved, but stop-hit rate and worst drawdown worsened versus 1.00x.",audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,"Stop risk, overshoot, drawdown, or stress degradation is materially worse than unlevered SPY_200d.","Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model.",SPY_200d_exposure_frontier_1_15x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,tier1_exploratory,too_risky,audit_harden,False,False,False,mark_too_risky,"Conservative registry default from status=too_risky, tier=tier1_exploratory, lane=compact_challenge. Run promotion review for evidence-backed decision.",risk_budget_or_stop_risk,not_flagged,breach_or_high_risk_flagged,risk-control evidence required before promotion,,,,,
SPY_200d_exposure_frontier_1_20x_v1,SPY 200-Day Exposure Frontier 1.20x,compact_challenge,ETF simulated exposure,SPY_200d exposure frontier diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,too_risky,risk_budget_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_exposure_frontier,evidence/challenge_runs/latest/,Pre-specified 1.20x exposure diagnostic; expected higher drawdown burden.,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,"Stop risk, overshoot, drawdown, or stress degradation remains materially worse than unlevered SPY_200d.","Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model.",SPY_200d_exposure_frontier_1_20x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,tier1_exploratory,too_risky,audit_harden,False,False,False,mark_too_risky,"Conservative registry default from status=too_risky, tier=tier1_exploratory, lane=compact_challenge. Run promotion review for evidence-backed decision.",risk_budget_or_stop_risk,not_flagged,breach_or_high_risk_flagged,risk-control evidence required before promotion,,,,,
SPY_200d_exposure_frontier_1_25x_v1,SPY 200-Day Exposure Frontier 1.25x,compact_challenge,ETF simulated exposure,SPY_200d exposure frontier diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,too_risky,risk_budget_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_exposure_frontier,evidence/challenge_runs/latest/,Pre-specified 1.25x exposure diagnostic; prior broad leverage check was too risky.,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,"Stop risk, overshoot, drawdown, or stress degradation remains materially worse than unlevered SPY_200d.","Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model.",SPY_200d_exposure_frontier_1_25x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,tier1_exploratory,too_risky,audit_harden,False,False,False,mark_too_risky,"Conservative registry default from status=too_risky, tier=tier1_exploratory, lane=compact_challenge. Run promotion review for evidence-backed decision.",risk_budget_or_stop_risk,not_flagged,breach_or_high_risk_flagged,risk-control evidence required before promotion,,,,,
SPY_200d_vol_target_12_cap_1_00_v1,SPY 200-Day Vol Target 12% Cap 1.00,compact_challenge,ETF,SPY_200d volatility-control diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,exploratory_only,risk_control_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_volatility_control_diagnostic,evidence/challenge_runs/latest/,Predeclared 12% target-volatility diagnostic with 60-day realized volatility and 1.00 cap.,run_challenge_audit,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_target_vol;tune_vol_window,"Tier 2 review would require fixed-rule evidence, benchmark comparison, stress survival, and no parameter tuning.","Target probability collapses, drawdown is not improved, or stress costs make it too slow.",Tier 1 diagnostic only; does not modify frozen SPY_200d_trend_model v1.,SPY_200d_vol_target_12_cap_1_00_v1,SPY_200d volatility-control diagnostic,ETF,tier1_exploratory,exploratory_only,run_challenge_audit,False,False,False,keep_watchlist,"Conservative registry default from status=exploratory_only, tier=tier1_exploratory, lane=compact_challenge. Run promotion review for evidence-backed decision.",instrument_or_mechanics_gate,not_flagged,not_assessed_in_registry,watchlist or diagnostics evidence required before promotion,,,diagnostic_only,False,tier1_exploratory;risk_control_diagnostic;not_paper_forward_allowed
SPY_200d_vol_target_12_cap_1_10_v1,SPY 200-Day Vol Target 12% Cap 1.10,compact_challenge,ETF,SPY_200d volatility-control diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,exploratory_only,risk_control_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_volatility_control_diagnostic,evidence/challenge_runs/latest/,Predeclared 12% target-volatility diagnostic with 60-day realized volatility and 1.10 cap; approximate financing applies above 1.00 exposure.,run_challenge_audit,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_target_vol;tune_vol_window,"Tier 2 review would require fixed-rule evidence, benchmark comparison, stress survival, and a credible exposure/financing model.","Stop risk, drawdown, or stress degradation is materially worse than unmodified SPY_200d.",Tier 1 diagnostic only; no real margin model and no paper-forward eligibility.,SPY_200d_vol_target_12_cap_1_10_v1,SPY_200d volatility-control diagnostic,ETF,tier1_exploratory,exploratory_only,run_challenge_audit,False,False,False,keep_watchlist,"Conservative registry default from status=exploratory_only, tier=tier1_exploratory, lane=compact_challenge. Run promotion review for evidence-backed decision.",instrument_or_mechanics_gate,not_flagged,not_assessed_in_registry,watchlist or diagnostics evidence required before promotion,,,diagnostic_only,False,tier1_exploratory;risk_control_diagnostic;exposure_above_1x;not_paper_forward_allowed
portfolio_spy200d_100_v1,Portfolio SPY 200-Day 100%,compact_challenge,diversified ETF portfolio,fixed_weight_portfolio,v1,SPY_200d_trend_model,tier3_candidate_validation,watchlist_diagnostic,diversified_portfolio_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diversified_portfolio,evidence/challenge_runs/latest/,"Exact diversified portfolio challenge wrapper matched SPY_200d closely; diagnostic only, not paper-forward.",run_challenge_audit,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive;tune_weights,Exact compact challenge evidence plus separate promotion review; no automatic paper-forward.,"Fails target-before-stop, stress survival, benchmark comparison, or drawdown/stop behavior.",Baseline portfolio wrapper for SPY_200d; does not alter frozen paper-forward SPY_200d v1.,portfolio_spy200d_100_v1,fixed_weight_portfolio,diversified ETF portfolio,tier3_candidate_validation,watchlist_diagnostic,run_challenge_audit,False,False,False,keep_watchlist,"Conservative registry default from status=watchlist_diagnostic, tier=tier3_candidate_validation, lane=compact_challenge. Run promotion review for evidence-backed decision.",instrument_or_mechanics_gate,not_flagged,not_assessed_in_registry,watchlist or diagnostics evidence required before promotion,,,diagnostic_only,False,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion
portfolio_spy200d_80_bil_20_v1,Portfolio SPY 200-Day 80% / BIL 20%,compact_challenge,diversified ETF portfolio,fixed_weight_portfolio,v1,SPY_200d_trend_model,tier3_candidate_validation,duplicate_or_near_duplicate,diversified_portfolio_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diversified_portfolio,evidence/challenge_runs/latest/,Exact diversified challenge showed lower drawdown but materially lower +300/+400 target rates versus SPY_200d.,run_challenge_audit,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive;tune_weights,Exact compact challenge evidence plus separate promotion review; no automatic paper-forward.,Defensive dilution makes +300/+400 too slow or does not improve stop behavior.,Fixed 80/20 defensive portfolio diagnostic; not paper-forward active.,portfolio_spy200d_80_bil_20_v1,fixed_weight_portfolio,diversified ETF portfolio,tier3_candidate_validation,duplicate_or_near_duplicate,run_challenge_audit,False,False,False,mark_duplicate_or_near_duplicate,"Conservative registry default from status=duplicate_or_near_duplicate, tier=tier3_candidate_validation, lane=compact_challenge. Run promotion review for evidence-backed decision.",duplicate_or_near_duplicate,flagged_by_registry,not_assessed_in_registry,incremental target-window or attribution evidence required to reopen,,,diagnostic_only,False,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion
portfolio_spy200d_70_bil_30_v1,Portfolio SPY 200-Day 70% / BIL 30%,compact_challenge,diversified ETF portfolio,fixed_weight_portfolio,v1,SPY_200d_trend_model,tier3_candidate_validation,duplicate_or_near_duplicate,diversified_portfolio_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diversified_portfolio,evidence/challenge_runs/latest/,Exact diversified challenge showed lower drawdown but too much target-rate sacrifice versus SPY_200d.,run_challenge_audit,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive;tune_weights,Exact compact challenge evidence plus separate promotion review; no automatic paper-forward.,Defensive dilution makes +300/+400 too slow or does not improve stop behavior.,Fixed 70/30 defensive portfolio diagnostic; not paper-forward active.,portfolio_spy200d_70_bil_30_v1,fixed_weight_portfolio,diversified ETF portfolio,tier3_candidate_validation,duplicate_or_near_duplicate,run_challenge_audit,False,False,False,mark_duplicate_or_near_duplicate,"Conservative registry default from status=duplicate_or_near_duplicate, tier=tier3_candidate_validation, lane=compact_challenge. Run promotion review for evidence-backed decision.",duplicate_or_near_duplicate,flagged_by_registry,not_assessed_in_registry,incremental target-window or attribution evidence required to reopen,,,diagnostic_only,False,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion
portfolio_spy200d_60_ief_20_bil_20_v1,Portfolio SPY 200-Day 60% / IEF 20% / BIL 20%,compact_challenge,diversified ETF portfolio,fixed_weight_portfolio,v1,SPY_200d_trend_model,tier3_candidate_validation,too_slow,diversified_portfolio_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diversified_portfolio,evidence/challenge_runs/latest/,Exact diversified challenge showed bond/cash defense reduced drawdown but made the +300/+400 challenge too slow.,run_challenge_audit,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive;tune_weights,Exact compact challenge evidence plus separate promotion review; no automatic paper-forward.,Bond/cash mix makes +300/+400 too slow or does not improve stop behavior.,Fixed bond defensive portfolio diagnostic; not paper-forward active.,portfolio_spy200d_60_ief_20_bil_20_v1,fixed_weight_portfolio,diversified ETF portfolio,tier3_candidate_validation,too_slow,run_challenge_audit,False,False,False,mark_too_slow,"Conservative registry default from status=too_slow, tier=tier3_candidate_validation, lane=compact_challenge. Run promotion review for evidence-backed decision.",target_rate_too_slow,not_flagged,drawdown_control_not_enough,target-rate improvement required before promotion,,,diagnostic_only,False,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion
portfolio_spy200d_70_gld_15_bil_15_v1,Portfolio SPY 200-Day 70% / GLD 15% / BIL 15%,compact_challenge,diversified ETF portfolio,fixed_weight_portfolio,v1,SPY_200d_trend_model,tier3_candidate_validation,too_slow,diversified_portfolio_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diversified_portfolio,evidence/challenge_runs/latest/,Exact diversified challenge showed gold/cash defense reduced drawdown but did not preserve enough target probability.,run_challenge_audit,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive;tune_weights,Exact compact challenge evidence plus separate promotion review; no automatic paper-forward.,Gold/cash mix makes +300/+400 too slow or does not improve stop behavior.,Fixed gold defensive portfolio diagnostic; not paper-forward active.,portfolio_spy200d_70_gld_15_bil_15_v1,fixed_weight_portfolio,diversified ETF portfolio,tier3_candidate_validation,too_slow,run_challenge_audit,False,False,False,mark_too_slow,"Conservative registry default from status=too_slow, tier=tier3_candidate_validation, lane=compact_challenge. Run promotion review for evidence-backed decision.",target_rate_too_slow,not_flagged,drawdown_control_not_enough,target-rate improvement required before promotion,,,diagnostic_only,False,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion
portfolio_spy200d_60_ief_20_gld_10_bil_10_v1,Portfolio SPY 200-Day 60% / IEF 20% / GLD 10% / BIL 10%,compact_challenge,diversified ETF portfolio,fixed_weight_portfolio,v1,SPY_200d_trend_model,tier3_candidate_validation,too_slow,diversified_portfolio_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diversified_portfolio,evidence/challenge_runs/latest/,Exact diversified challenge showed multi-asset defense reduced drawdown but was too slow for +300/+400.,run_challenge_audit,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive;tune_weights,Exact compact challenge evidence plus separate promotion review; no automatic paper-forward.,Multi-asset mix makes +300/+400 too slow or does not improve stop behavior.,Fixed multi-asset defensive portfolio diagnostic; not paper-forward active.,portfolio_spy200d_60_ief_20_gld_10_bil_10_v1,fixed_weight_portfolio,diversified ETF portfolio,tier3_candidate_validation,too_slow,run_challenge_audit,False,False,False,mark_too_slow,"Conservative registry default from status=too_slow, tier=tier3_candidate_validation, lane=compact_challenge. Run promotion review for evidence-backed decision.",target_rate_too_slow,not_flagged,drawdown_control_not_enough,target-rate improvement required before promotion,,,diagnostic_only,False,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion
portfolio_spy200d_80_ab_20_v1,Portfolio SPY 200-Day 80% / A-B Control 20%,compact_challenge,diversified ETF portfolio,fixed_weight_portfolio,v1,SPY_200d_trend_model,tier2_credible_prototype,incomplete_evidence,diversified_portfolio_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diversified_portfolio,evidence/challenge_runs/latest/,Fixed strategy-diversification mix diagnostic; awaits compact challenge evidence.,run_challenge_audit,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive;tune_weights,Exact compact challenge evidence plus separate promotion review; no automatic paper-forward.,Strategy sleeve lowers target probability without sufficient drawdown improvement.,Fixed strategy-diversification diagnostic; does not alter frozen A/B control or SPY_200d rows.,portfolio_spy200d_80_ab_20_v1,fixed_weight_portfolio,diversified ETF portfolio,tier2_credible_prototype,incomplete_evidence,run_challenge_audit,False,False,False,keep_watchlist,"Conservative registry default from status=incomplete_evidence, tier=tier2_credible_prototype, lane=compact_challenge. Run promotion review for evidence-backed decision.",instrument_or_mechanics_gate,not_flagged,not_assessed_in_registry,watchlist or diagnostics evidence required before promotion,,,diagnostic_only,False,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion
portfolio_spy200d_70_ab_20_bil_10_v1,Portfolio SPY 200-Day 70% / A-B 20% / BIL 10%,compact_challenge,diversified ETF portfolio,fixed_weight_portfolio,v1,SPY_200d_trend_model,tier2_credible_prototype,incomplete_evidence,diversified_portfolio_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diversified_portfolio,evidence/challenge_runs/latest/,Fixed strategy-diversification mix diagnostic; awaits compact challenge evidence.,run_challenge_audit,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive;tune_weights,Exact compact challenge evidence plus separate promotion review; no automatic paper-forward.,Strategy sleeve/cash mix lowers target probability without sufficient drawdown improvement.,Fixed strategy-diversification diagnostic; does not alter frozen A/B control or SPY_200d rows.,portfolio_spy200d_70_ab_20_bil_10_v1,fixed_weight_portfolio,diversified ETF portfolio,tier2_credible_prototype,incomplete_evidence,run_challenge_audit,False,False,False,keep_watchlist,"Conservative registry default from status=incomplete_evidence, tier=tier2_credible_prototype, lane=compact_challenge. Run promotion review for evidence-backed decision.",instrument_or_mechanics_gate,not_flagged,not_assessed_in_registry,watchlist or diagnostics evidence required before promotion,,,diagnostic_only,False,diagnostic_only;not_paper_forward_allowed;requires_separate_promotion
