instrument_or_strategy,category,profit_potential,risk_level,evidence_quality,data_quality,execution_realism,modeling_complexity,overfitting_risk,small_account_suitability,can_reach_target_in_theory,main_failure_mode,current_project_status,recommendation,implementation_gate_required,notes
Individual stock momentum,stocks,high,high,moderate,needs_survivorship_free_data,moderate,high,high,moderate,yes,survivorship and gap risk,defer,defer_until_data_model_exists,Gate 1,"Gate 0, Gate 1, and Gate 1A vendor verification memos exist; Gate 1A decision is continue_defer. CRSP and Norgate Data are follow-up candidates, but implementation remains blocked until survivorship-free data, delisted stocks, delisting returns or terminal treatment, point-in-time universe treatment, cost, license, and local caching are resolved."
Individual stock swing trading,stocks,high,high,weak_to_moderate,needs_survivorship_free_data,moderate,high,very_high,moderate,yes,earnings gaps and overfitting,defer,map_before_implementation,Gate 1,"Do not implement until stock data model exists."
Dividend/yield strategies,income/equity,low_to_moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,maybe,too slow for target,research_only,research_memo_only,Gate 0,"May be portfolio research but likely not challenge engine."
Options directional calls/puts,options,high,very_high,unknown,difficult,difficult,high,very_high,poor_to_moderate,yes,time decay and wide spreads,reject_for_now,reject_due_to_execution_risk,Gate 1,"Requires option-chain and fill framework."
Options debit spreads,options,high,high,unknown,difficult,difficult,high,very_high,moderate,yes,spread fills and volatility effects,reject_for_now,reject_due_to_execution_risk,Gate 1,"Potentially bounded risk but hard to model honestly."
Options premium selling,options,moderate,very_high,unknown,difficult,difficult,very_high,high,poor,yes,tail losses and margin,reject_for_now,reject_due_to_leverage_complexity,Gate 1,"Not suitable without margin and tail-risk framework."
Futures trend following,futures,high,high,moderate,difficult,moderate_to_difficult,high,high,poor_to_moderate,yes,leverage and roll/margin modeling,defer,reject_due_to_leverage_complexity,Gate 1,"Needs continuous futures and margin framework."
Micro futures day trading,futures intraday,high,very_high,unknown,difficult,difficult,very_high,very_high,poor,yes,intraday fill and leverage risk,never_without_new_framework,reject_due_to_leverage_complexity,Gate 1,"Outside current daily ETF framework."
Forex carry,forex,moderate,high,moderate,difficult,difficult,high,high,poor_to_moderate,yes,financing/spread regime shifts,defer,defer_until_data_model_exists,Gate 1,"Needs rates and realistic spread model."
Forex momentum,forex,moderate_to_high,high,moderate,difficult,difficult,high,high,poor_to_moderate,yes,leverage and execution assumptions,defer,defer_until_data_model_exists,Gate 1,"Not implementable in current ETF framework."
Crypto spot trend/momentum,crypto spot,high,very_high,weak_to_moderate,exchange_specific,moderate,moderate_to_high,high,moderate,yes,crashes fees and exchange data issues,research_only,map_before_implementation,Gate 1,"Tier 1 exploratory lane exists at exploratory/crypto_spot_momentum/. It is long-only spot only, non-final, not paper-forward ready, excludes leverage/perpetuals/futures/margin/shorting, and does not affect ETF validation."
Crypto leverage/perpetuals,crypto derivatives,very_high,extreme,unknown,difficult,difficult,very_high,very_high,poor,yes,liquidation and funding,never_without_new_framework,reject_due_to_leverage_complexity,Gate 1,"Rejected for current project."
Volatility ETFs/products,volatility,high,extreme,suspicious,product_specific,difficult,very_high,very_high,poor,yes,path dependency and product decay,reject_for_now,reject_due_to_execution_risk,Gate 1,"Memo only until dedicated framework."
Intraday opening range breakout,intraday,high,high,weak,difficult,difficult,high,very_high,poor_to_moderate,yes,fill/slippage and overfitting,defer,defer_until_data_model_exists,Gate 1,"Requires intraday data; no daily approximation."
Event/news momentum,event-driven,high,high,unknown,difficult,difficult,very_high,very_high,moderate,yes,timestamp leakage,defer,defer_until_data_model_exists,Gate 1,"Point-in-time event data required."
AI market-condition gating,AI/process,unknown,high,unknown,evidence_packet_only,not_applicable,high,very_high,not_applicable,unknown,narrative overconfidence,reject_for_now,reject_due_to_overfitting_risk,Gate 0,"AI may audit reports later but must not affect trades."
