id,version,current_tier,status,promotion_requirements,risk_framework_status,paper_forward_allowed_by_risk_framework,promotion_blockers,next_possible_tier,current_blockers
portfolio_spy200d_80_crypto_tsmom_10_bil_10_v1,v1,tier1_exploratory,exploratory_only,Tier 2 crypto review plus separate portfolio promotion review.,diagnostic_only,False,tier1_exploratory;crypto_sleeve;not_paper_forward_allowed,tier2_credible_prototype_after_review,tier1_exploratory;crypto_sleeve;not_paper_forward_allowed
portfolio_spy200d_70_crypto_tsmom_10_ief_10_bil_10_v1,v1,tier1_exploratory,exploratory_only,Tier 2 crypto review plus separate portfolio promotion review.,diagnostic_only,False,tier1_exploratory;crypto_sleeve;not_paper_forward_allowed,tier2_credible_prototype_after_review,tier1_exploratory;crypto_sleeve;not_paper_forward_allowed
family_broad_etf_spy200d_v1,v1,tier3_candidate_validation,benchmark_candidate,Exact family challenge evidence plus separate promotion review.,watchlist,False,requires_separate_promotion;not_paper_forward_allowed_from_family_packet,tier4_paper_forward_if_frozen,requires_separate_promotion;not_paper_forward_allowed_from_family_packet
family_broad_etf_spy_buy_hold_v1,v1,benchmark,benchmark_candidate,Benchmark comparison only; no real-money promotion.,benchmark_candidate,False,benchmark_only;requires_separate_promotion,none,benchmark_only;requires_separate_promotion
family_cash_treasury_bil_v1,v1,benchmark,benchmark,Benchmark only.,benchmark_only,False,benchmark_only;too_slow_for_target,none,benchmark_only;too_slow_for_target
family_bond_treasury_ief_v1,v1,benchmark,benchmark,Benchmark comparison only.,benchmark_only,False,benchmark_only;not_paper_forward_allowed_from_family_packet,none,benchmark_only;not_paper_forward_allowed_from_family_packet
family_gold_gld_v1,v1,benchmark,benchmark,Benchmark comparison only.,benchmark_only,False,benchmark_only;not_paper_forward_allowed_from_family_packet,none,benchmark_only;not_paper_forward_allowed_from_family_packet
family_etf_sector_momentum_A_v1,v1,tier2_credible_prototype,incomplete_evidence,Exact daily family stream and all-possible challenge windows.,incomplete_evidence,False,exact_daily_stream_unavailable;requires_audit_harden,tier3_candidate_validation,exact_daily_stream_unavailable;requires_audit_harden
family_etf_ab_no_cash_v1,v1,tier3_candidate_validation,incomplete_evidence,Exact daily family stream and all-possible challenge windows.,incomplete_evidence,False,exact_daily_stream_unavailable;requires_audit_harden,tier4_paper_forward_if_frozen,exact_daily_stream_unavailable;requires_audit_harden
family_crypto_spot_time_series_momentum_v1,v1,tier1_exploratory,exploratory_only,Tier 2 crypto review and credible data/execution model.,diagnostic_only,False,tier1_exploratory;crypto_execution_model_missing;not_paper_forward_allowed,tier2_credible_prototype_after_review,tier1_exploratory;crypto_execution_model_missing;not_paper_forward_allowed
family_crypto_spot_buy_hold_equal_weight_v1,v1,tier1_exploratory,exploratory_only,Tier 2 crypto review and credible data/execution model.,diagnostic_only,False,tier1_exploratory;crypto_execution_model_missing;not_paper_forward_allowed,tier2_credible_prototype_after_review,tier1_exploratory;crypto_execution_model_missing;not_paper_forward_allowed
family_individual_stock_momentum_v1,v1,blocked,blocked,Gate 2 approval after data/vendor feasibility.,blocked_by_gate,False,blocked_by_gate;survivorship_free_data_unverified;delisting_treatment_unverified,none,blocked;blocked_by_gate;survivorship_free_data_unverified;delisting_treatment_unverified
family_options_directional_v1,v1,blocked,blocked,Gate 0 and Gate 1 approval.,blocked_by_gate,False,blocked_by_gate;options_data_and_execution_model_missing,none,blocked;blocked_by_gate;options_data_and_execution_model_missing
family_options_premium_v1,v1,blocked,blocked,Gate 0 and Gate 1 approval.,blocked_by_gate,False,blocked_by_gate;options_tail_risk_model_missing,none,blocked;blocked_by_gate;options_tail_risk_model_missing
family_futures_trend_following_v1,v1,blocked,blocked,Gate 0 and Gate 1 approval.,blocked_by_gate,False,blocked_by_gate;futures_roll_margin_gap_model_missing,none,blocked;blocked_by_gate;futures_roll_margin_gap_model_missing
family_forex_momentum_carry_v1,v1,blocked,blocked,Gate 0 and Gate 1 approval.,blocked_by_gate,False,blocked_by_gate;forex_execution_financing_model_missing,none,blocked;blocked_by_gate;forex_execution_financing_model_missing
family_intraday_orb_v1,v1,blocked,blocked,Gate 0 and Gate 1 approval.,blocked_by_gate,False,blocked_by_gate;intraday_data_and_fill_model_missing,none,blocked;blocked_by_gate;intraday_data_and_fill_model_missing
family_volatility_products_v1,v1,blocked,blocked,Gate 0 and Gate 1 approval.,blocked_by_gate,False,blocked_by_gate;volatility_product_mechanics_missing,none,blocked;blocked_by_gate;volatility_product_mechanics_missing
family_event_news_momentum_v1,v1,blocked,blocked,Gate 0 and Gate 1 approval.,blocked_by_gate,False,blocked_by_gate;point_in_time_event_data_missing,none,blocked;blocked_by_gate;point_in_time_event_data_missing
A_ETF_sector_momentum,v1,tier3_candidate_validation,watchlist,New version id plus candidate evidence if changed.,,,,tier4_paper_forward_if_frozen,nan
B_ETF_trend_following,v1,tier3_candidate_validation,watchlist,New version id plus candidate evidence if changed.,,,,tier4_paper_forward_if_frozen,nan
C_swing_trend_pullback,v1,blocked,rejected,New isolated version and fresh evidence required before reconsideration.,,,,none,rejected;blocked;nan
D_mean_reversion,v1,blocked,rejected,New isolated version and fresh evidence required before reconsideration.,,,,none,rejected;blocked;nan
E_breakout_vcb,v1,blocked,rejected,New isolated version and fresh evidence required before reconsideration.,,,,none,rejected;blocked;nan
crypto_time_series_momentum,v1,tier1_exploratory,exploratory_only,Tier 2 credible prototype review; better data/execution model.,,,,tier2_credible_prototype_after_review,tier1_exploratory;nan
crypto_dual_momentum_cash_filter,v1,tier1_exploratory,exploratory_only,Tier 2 credible prototype review; better data/execution model.,,,,tier2_credible_prototype_after_review,tier1_exploratory;nan
crypto_cross_sectional_momentum,v1,tier1_exploratory,exploratory_only,Tier 2 credible prototype review; better data/execution model.,,,,tier2_credible_prototype_after_review,tier1_exploratory;nan
crypto_buy_hold_equal_weight,v1,tier1_exploratory,exploratory_only,Tier 2 credible prototype review; better data/execution model.,,,,tier2_credible_prototype_after_review,tier1_exploratory;nan
crypto_simulated_leverage_1_5x,v1,tier1_exploratory,too_risky,Not eligible.,,,,tier2_credible_prototype_after_review,too_risky;tier1_exploratory;nan
crypto_simulated_leverage_2_0x,v1,tier1_exploratory,too_risky,Not eligible.,,,,tier2_credible_prototype_after_review,too_risky;tier1_exploratory;nan
individual_stock_momentum_gate1a,gate1a,blocked,deferred,"Verified survivorship-free data, delistings, corporate actions, licensing, and cost/runtime feasibility.",,,,none,deferred;blocked_by_gate;blocked;nan
options_directional_gate0_needed,memo_placeholder,tier0_research_map,memo_only,Gate 0 and Gate 1 approval.,,,,tier1_exploratory_after_gate_review,not_implemented;tier0_research_map;nan
futures_trend_following_gate0_needed,memo_placeholder,tier0_research_map,memo_only,Gate 0 and Gate 1 approval.,,,,tier1_exploratory_after_gate_review,not_implemented;tier0_research_map;nan
forex_momentum_carry_gate0_needed,memo_placeholder,tier0_research_map,memo_only,Gate 0 and Gate 1 approval.,,,,tier1_exploratory_after_gate_review,not_implemented;tier0_research_map;nan
intraday_orb_gate0_needed,memo_placeholder,tier0_research_map,memo_only,Gate 0 and Gate 1 approval with timestamp-quality review.,,,,tier1_exploratory_after_gate_review,not_implemented;tier0_research_map;nan
volatility_products_gate0_needed,memo_placeholder,tier0_research_map,memo_only,Gate 0 and Gate 1 approval with product-risk review.,,,,tier1_exploratory_after_gate_review,not_implemented;tier0_research_map;nan
profit_GLD_200d_trend_model_v1,v1,tier2_credible_prototype,watchlist,Separate candidate-exhaustive/Tier 2 review before any status change.,diagnostic_only,False,profit_exploration_only;not_paper_forward;no_real_money_promotion,tier3_candidate_validation,profit_exploration_only;not_paper_forward;no_real_money_promotion
profit_IEF_200d_trend_model_v1,v1,tier2_credible_prototype,too_slow,Separate candidate-exhaustive/Tier 2 review before any status change.,diagnostic_only,False,profit_exploration_only;not_paper_forward;no_real_money_promotion,tier3_candidate_validation,profit_exploration_only;not_paper_forward;no_real_money_promotion
profit_SPY_GLD_dual_momentum_v1,v1,tier2_credible_prototype,watchlist,Separate candidate-exhaustive/Tier 2 review before any status change.,diagnostic_only,False,profit_exploration_only;not_paper_forward;no_real_money_promotion,tier3_candidate_validation,profit_exploration_only;not_paper_forward;no_real_money_promotion
profit_SPY_GLD_IEF_dual_momentum_v1,v1,tier2_credible_prototype,watchlist,Separate candidate-exhaustive/Tier 2 review before any status change.,diagnostic_only,False,profit_exploration_only;not_paper_forward;no_real_money_promotion,tier3_candidate_validation,profit_exploration_only;not_paper_forward;no_real_money_promotion
profit_multi_asset_top2_momentum_v1,v1,tier2_credible_prototype,watchlist,Separate candidate-exhaustive/Tier 2 review before any status change.,diagnostic_only,False,profit_exploration_only;not_paper_forward;no_real_money_promotion,tier3_candidate_validation,profit_exploration_only;not_paper_forward;no_real_money_promotion
profit_GLD_SPY_rotation_v1,v1,tier2_credible_prototype,watchlist,Separate candidate-exhaustive/Tier 2 review before any status change.,diagnostic_only,False,profit_exploration_only;not_paper_forward;no_real_money_promotion,tier3_candidate_validation,profit_exploration_only;not_paper_forward;no_real_money_promotion
profit_combo_SPY200d_GLD_50_50_v1,v1,tier2_credible_prototype,watchlist,Separate candidate-exhaustive/Tier 2 review before any status change.,diagnostic_only,False,profit_exploration_only;not_paper_forward;no_real_money_promotion,tier3_candidate_validation,profit_exploration_only;not_paper_forward;no_real_money_promotion
profit_combo_SPY200d_GLD_BIL_60_30_10_v1,v1,tier2_credible_prototype,watchlist,Separate candidate-exhaustive/Tier 2 review before any status change.,diagnostic_only,False,profit_exploration_only;not_paper_forward;no_real_money_promotion,tier3_candidate_validation,profit_exploration_only;not_paper_forward;no_real_money_promotion
profit_combo_SPY200d_crypto_tsmom_90_10_v1,v1,tier1_exploratory,exploratory_only,Separate crypto gate/audit hardening before any candidate discussion.,diagnostic_only,False,tier1_exploratory;profit_exploration_only;not_paper_forward;no_real_money_promotion,tier2_credible_prototype_after_review,tier1_exploratory;profit_exploration_only;not_paper_forward;no_real_money_promotion
