strategy_id,current_status,promotion_decision,failure_mode,missing_evidence,closest_to_promotion_score,gap_recommended_next_action,gap_next_action_reason,exact_evidence_needed_to_change_decision
family_crypto_spot_buy_hold_equal_weight_v1,exploratory_only,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
A_ETF_sector_momentum,promotion_review_passed,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
crypto_time_series_momentum,exploratory_only,keep_watchlist,watchlist_short_history,,0,keep_watchlist_short_history,Wait for longer history or use explicit short-history labels.,stronger target/risk/duplicate diagnostics
crypto_dual_momentum_cash_filter,exploratory_only,keep_watchlist,watchlist_short_history,,0,keep_watchlist_short_history,Wait for longer history or use explicit short-history labels.,stronger target/risk/duplicate diagnostics
crypto_cross_sectional_momentum,exploratory_only,keep_watchlist,watchlist_short_history,,0,keep_watchlist_short_history,Wait for longer history or use explicit short-history labels.,stronger target/risk/duplicate diagnostics
crypto_buy_hold_equal_weight,exploratory_only,keep_watchlist,watchlist_short_history,,0,keep_watchlist_short_history,Wait for longer history or use explicit short-history labels.,stronger target/risk/duplicate diagnostics
profit_SPY_GLD_IEF_dual_momentum_v1,watchlist,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
profit_multi_asset_top2_momentum_v1,watchlist,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
profit_GLD_SPY_rotation_v1,watchlist,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
profit_combo_SPY200d_GLD_BIL_60_30_10_v1,watchlist,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
profit_combo_SPY200d_crypto_tsmom_90_10_v1,exploratory_only,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
asset_class_tsmom_equal_weight_v1,exploratory_only,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
asset_class_tsmom_top1_v1,exploratory_only,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
GLD_200d_trend_model_v1,exploratory_only,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
low_vol_quality_defensive_rotation_v1,research_queue,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
sector_top2_momentum_simple_v1,watchlist,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
treasury_duration_trend_rotation_v1,research_queue,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
commodity_basket_etf_momentum_v1,fast_exploratory_screen_completed,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
