experiment_id,display_name,experiment_type,family_group,strategy_family,evidence_tier,run_allowed,implementation_status,independent_account,starting_equity,underlying_components,rule_source,expected_profit_mechanism,main_risk,allowed_next_action,forbidden_next_actions,notes,run_validation_scope,selected_horizons,omitted_horizons,full_horizon_validation_completed,candidate_exhaustive_completed,reduced_validation,reduced_validation_reason,run_id,run_status,status_notes,selected_horizons_completed,canonical_rule_hash,duplicate_of,duplicate_status,qqq_selection_frequency,spy_selection_frequency,gld_selection_frequency,ief_selection_frequency,bil_allocation_frequency,max_single_asset_allocation,qqq_allocation_share,equity_asset_allocation_share,defensive_asset_allocation_share,concentration_warning,equity_beta_duplicate_warning,canonical_rule,version,lane,independent_starting_equity,shared_capital,portfolio_mix,paper_forward_active,paper_forward_allowed_by_risk_framework,real_money_recommendation,uses_leverage,uses_shorting,uses_margin,requires_network,required_symbols,primary_benchmark,secondary_benchmarks,blocked_reason
asset_class_tsmom_top2_v1,Asset Class TSMOM Top 2,strategy_variant,multi_asset_etf,asset_class_time_series_momentum,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['SPY', 'GLD', 'IEF', 'BIL']",predeclared 126-day relative momentum top-2 with 200-day SMA absolute filter,concentrate in up to two strongest eligible ETF asset-class trends,"whipsaw, concentration, and possible defensive drag",run_profit_exploration,"['tune_lookback', 'tune_sma_length', 'tune_number_of_assets', 'tune_parameters', 'grid_search', 'promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']","Independent $3,000 research-sample profit experiment; not paper-forward and not a real-money recommendation.",all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,completed,completed from cached adjusted ETF prices,True,d03c7e83b354051ab0ccde6b79b46577eb8f5a2592a21bff790cf944a2fb458a,,canonical_unique,,,,,,,,,,False,False,"{'strategy_family': 'asset_class_time_series_momentum', 'asset_universe': ['SPY', 'GLD', 'IEF', 'BIL'], 'rebalance_frequency': 'monthly', 'ranking_lookback_trading_days': 126, 'trend_filter': 'price_gt_200_day_sma', 'cash_fallback_rule': 'all_to_BIL_if_no_risky_asset_eligible', 'number_of_selected_assets': 2, 'weighting_rule': 'equal_weight_selected_assets', 'execution_timing_rule': 'next_trading_day_after_rebalance_signal', 'max_gross_exposure': 1.0, 'leverage_setting': 'none'}",,,,,,,,,,,,,,,,
qqq_spy_gld_ief_dual_momentum_v1,QQQ/SPY/GLD/IEF Dual Momentum,strategy_variant,dual_momentum,QQQ/SPY/GLD/IEF dual momentum,tier2_credible_prototype,research_sample_only,implemented_research_sample,True,3000,"['QQQ', 'SPY', 'GLD', 'IEF', 'BIL']",approved implementation review packet; fixed top-1 126-day relative momentum with 200-day SMA absolute filter,add QQQ growth/equity momentum exposure while retaining SPY/GLD/IEF/BIL defensive fallback,higher-beta equity duplicate risk if QQQ/SPY dominate allocations,research_sample_review,"['candidate_exhaustive_in_this_task', 'observe_as_paper_forward', 'tune_lookback', 'tune_sma_length', 'tune_parameters', 'grid_search', 'promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']",Research-sample only implementation approved by implementation review; reports QQQ allocation concentration and equity-beta duplicate risk.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,completed,completed from cached adjusted ETF prices,True,e28c5359ddd67b84ac52f33473ddeb179810fd8e6e06758efe312beb592a81cb,,canonical_unique,0.45862351495288817,0.10712822613682917,0.29270790659565754,0.0680049160180254,0.0733306022122081,0.45862351495288817,0.45862351495288817,0.5657517410897174,0.43404342482589103,False,False,"{'strategy_family': 'qqq_spy_gld_ief_dual_momentum', 'asset_universe': ['QQQ', 'SPY', 'GLD', 'IEF', 'BIL'], 'rebalance_frequency': 'monthly', 'ranking_lookback_trading_days': 126, 'ranked_assets': ['QQQ', 'SPY', 'GLD', 'IEF'], 'trend_filter': 'price_gt_200_day_sma', 'cash_fallback_rule': 'all_to_BIL_if_top_asset_fails_absolute_filter', 'number_of_selected_assets': 1, 'weighting_rule': 'full_weight_top_eligible_asset', 'execution_timing_rule': 'next_trading_day_after_rebalance_signal', 'max_gross_exposure': 1.0, 'leverage_setting': 'none'}",v1,profit_exploration,3000.0,False,False,False,False,False,False,False,False,False,"['QQQ', 'SPY', 'GLD', 'IEF', 'BIL']",asset_class_tsmom_top2_v1,"['combo_SPY200d_GLD_50_50_v1', 'SPY_200d_trend_model', 'SPY_buy_hold', 'GLD_buy_hold', 'BIL_cash_proxy']",
dual_momentum_SPY_GLD_IEF_v1,Dual Momentum SPY GLD IEF,strategy_variant,multi_asset_etf,dual_momentum,tier2_credible_prototype,True,duplicate_skipped,True,3000,"['SPY', 'GLD', 'IEF', 'BIL']",duplicate canonical rule of asset_class_tsmom_top1_v1,same as asset_class_tsmom_top1_v1; duplicate row retained for audit visibility,duplicate evidence inflation if counted independently,audit_harden,"['count_as_independent_evidence', 'tune_lookback', 'tune_sma_length', 'tune_parameters', 'grid_search', 'promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']",Duplicate-skipped by canonical rule hash if asset_class_tsmom_top1_v1 is present.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,duplicate_skipped,duplicate canonical rule hash; duplicate_of=asset_class_tsmom_top1_v1,,235c97bf8a90cbc0064fa0406435a98d4cbad891d2f425030572d4d77e2118f0,asset_class_tsmom_top1_v1,,,,,,,,,,,,,"{'strategy_family': 'asset_class_time_series_momentum', 'asset_universe': ['SPY', 'GLD', 'IEF', 'BIL'], 'rebalance_frequency': 'monthly', 'ranking_lookback_trading_days': 126, 'trend_filter': 'price_gt_200_day_sma', 'cash_fallback_rule': 'all_to_BIL_if_no_risky_asset_eligible', 'number_of_selected_assets': 1, 'weighting_rule': 'equal_weight_selected_assets', 'execution_timing_rule': 'next_trading_day_after_rebalance_signal', 'max_gross_exposure': 1.0, 'leverage_setting': 'none'}",,,,,,,,,,,,,,,,
IEF_200d_trend_model_v1,IEF 200-Day Trend Model,strategy_variant,bond_treasury_etf,absolute_trend,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['IEF', 'BIL']",predeclared profit exploration fixed rule,bond trend participation with BIL fallback,low upside and rate whipsaw,run_profit_exploration,"['tune_sma_length', 'tune_parameters', 'promote_to_real_money', 'add_broker_integration']","New isolated profit experiment, not paper-forward.",all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,completed,completed from cached adjusted ETF prices,True,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,
SPY_GLD_dual_momentum_v1,SPY GLD Dual Momentum,strategy_variant,multi_asset_etf,dual_momentum,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['SPY', 'GLD', 'BIL']",predeclared 126-day return and 200-day SMA filter,rotate between equity and gold momentum,regime whipsaw and single-asset concentration,run_profit_exploration,"['tune_lookback', 'tune_sma_length', 'grid_search', 'promote_to_real_money']","Monthly rebalance, top asset only, no leverage.",all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,completed,completed from cached adjusted ETF prices,True,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,
SPY_GLD_IEF_dual_momentum_v1,SPY GLD IEF Dual Momentum,strategy_variant,multi_asset_etf,dual_momentum,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['SPY', 'GLD', 'IEF', 'BIL']",predeclared 126-day return and 200-day SMA filter,rotate to strongest liquid ETF family,whipsaw and defensive drag,run_profit_exploration,"['tune_lookback', 'tune_sma_length', 'grid_search', 'promote_to_real_money']","Monthly rebalance, top asset only, no leverage.",all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,completed,completed from cached adjusted ETF prices,True,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,
multi_asset_top2_momentum_v1,Multi-Asset Top 2 Momentum,strategy_variant,multi_asset_etf,cross_asset_momentum,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['SPY', 'GLD', 'IEF', 'BIL']",predeclared top-2 126-day return and 200-day SMA filter,diversify between top positive ETF trends,diluted upside and trend whipsaw,run_profit_exploration,"['tune_lookback', 'tune_number_of_assets', 'tune_sma_length', 'grid_search', 'promote_to_real_money']","Monthly rebalance, top 2 equally if valid, unused weight to BIL.",all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,completed,completed from cached adjusted ETF prices,True,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,
GLD_SPY_rotation_v1,GLD SPY Rotation,strategy_variant,multi_asset_etf,relative_momentum_rotation,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['GLD', 'SPY', 'BIL']",predeclared GLD versus SPY 126-day return with 200-day SMA filter,rotate between gold and equity regimes,whipsaw and concentration,run_profit_exploration,"['tune_lookback', 'tune_sma_length', 'grid_search', 'promote_to_real_money']","Monthly rebalance, no leverage.",all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,completed,completed from cached adjusted ETF prices,True,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,
combo_SPY200d_GLD_50_50_v1,Combo SPY200d GLD 50/50,fixed_combination,fixed_combination_etf,fixed_weight_combination,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['SPY_200d_trend_model', 'GLD_buy_hold']",predeclared 50/50 monthly combination,combine equity trend and gold upside,combination may dilute upside or inherit GLD drawdown,run_profit_exploration,"['tune_weights', 'promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']","Independent experiment account, not allocation advice.",all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,completed,completed from cached adjusted ETF prices,True,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,
combo_SPY200d_GLD_BIL_60_30_10_v1,Combo SPY200d GLD BIL 60/30/10,fixed_combination,fixed_combination_etf,fixed_weight_combination,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['SPY_200d_trend_model', 'GLD_buy_hold', 'BIL_cash_proxy']",predeclared 60/30/10 monthly combination,"combine equity trend, gold upside, and cash ballast",too slow if cash dilutes upside,run_profit_exploration,"['tune_weights', 'promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']","Independent experiment account, not allocation advice.",all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,completed,completed from cached adjusted ETF prices,True,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,
combo_SPY200d_crypto_tsmom_90_10_v1,Combo SPY200d Crypto TSMOM 90/10,fixed_combination,fixed_combination_crypto_satellite,fixed_weight_combination,tier1_exploratory,true_only_with_include_crypto_exploratory,implemented_exploratory,True,3000,"['SPY_200d_trend_model', 'crypto_time_series_momentum']",predeclared 90/10 exploratory combination,small crypto momentum satellite plus ETF trend core,crypto evidence is Tier 1 and not candidate-grade,run_profit_exploration,"['tune_crypto_weight', 'promote_to_real_money', 'treat_as_validated', 'add_broker_integration']",Crypto-containing row is Tier 1 only and excluded by default.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,excluded_by_flag,crypto excluded by default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crypto_time_series_momentum,Crypto Time Series Momentum,exploratory_family,crypto_spot_momentum,time_series_momentum,tier1_exploratory,true_only_with_include_crypto_exploratory,implemented_exploratory,True,3000,['existing crypto exploratory lane'],existing crypto exploratory evidence only,high-volatility crypto trend continuation,"Tier 1 non-final evidence, execution/data limitations",audit_harden,"['promote_to_real_money', 'treat_as_validated', 'add_broker_integration', 'crypto_leverage']",Optional cache-only import from existing exploratory evidence.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,excluded_by_flag,crypto excluded by default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crypto_buy_hold_equal_weight,Crypto Buy Hold Equal Weight,exploratory_family,crypto_spot_buy_hold,buy_and_hold,tier1_exploratory,true_only_with_include_crypto_exploratory,implemented_exploratory,True,3000,['existing crypto exploratory lane'],existing crypto exploratory evidence only,high-volatility crypto beta,"Tier 1 non-final evidence, large drawdown and stop risk",audit_harden,"['promote_to_real_money', 'treat_as_validated', 'add_broker_integration', 'crypto_leverage']",Optional cache-only import from existing exploratory evidence.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,excluded_by_flag,crypto excluded by default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
individual_stock_momentum,Individual Stock Momentum,blocked_family,individual_stock_momentum,momentum,blocked,False,blocked_by_gate,True,3000,[],gate memo only,unknown until gate approved,no survivorship-free data or delisting treatment,continue_vendor_review,"['implement_strategy', 'run_backtest', 'download_data', 'promote_to_real_money']",Reported but not run.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,blocked_by_gate,Gate 1A continue_defer; no survivorship-free data/delisting treatment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate 1A continue_defer; no survivorship-free data/delisting treatment.
options_directional,Options Directional,blocked_family,options_directional,options_directional,blocked,False,blocked_by_gate,True,3000,[],gate memo only,unknown until gate approved,"missing option-chain, bid/ask, IV, exercise/assignment, margin, and fill model",create_gate0_memo,"['implement_strategy', 'run_backtest', 'download_data', 'promote_to_real_money']",Reported but not run.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,blocked_by_gate,"No option-chain, bid/ask, IV, Greeks, assignment/exercise, margin, or spread-fill model.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No option-chain, bid/ask, IV, Greeks, assignment/exercise, margin, or spread-fill model."
options_premium,Options Premium,blocked_family,options_premium,options_premium,blocked,False,blocked_by_gate,True,3000,[],gate memo only,unknown until gate approved,"missing option-chain, margin, assignment, tail-risk, and realistic fills",create_gate0_memo,"['implement_strategy', 'run_backtest', 'download_data', 'promote_to_real_money']",Reported but not run.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,blocked_by_gate,"No option-chain, margin, assignment, tail-risk, or realistic fill model.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No option-chain, margin, assignment, tail-risk, or realistic fill model."
futures_trend_following,Futures Trend Following,blocked_family,futures_trend_following,trend_following,blocked,False,blocked_by_gate,True,3000,[],gate memo only,unknown until gate approved,"no continuous contract, roll, margin, leverage, or gap model",create_gate0_memo,"['implement_strategy', 'run_backtest', 'download_data', 'promote_to_real_money']",Reported but not run.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,blocked_by_gate,"No continuous contract, roll, margin, leverage, or gap model.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No continuous contract, roll, margin, leverage, or gap model."
forex_momentum_carry,Forex Momentum Carry,blocked_family,forex_momentum_carry,momentum_carry,blocked,False,blocked_by_gate,True,3000,[],gate memo only,unknown until gate approved,"no spread, financing, leverage, or broker execution model",create_gate0_memo,"['implement_strategy', 'run_backtest', 'download_data', 'promote_to_real_money']",Reported but not run.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,blocked_by_gate,"No spread, financing, leverage, or broker execution model.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No spread, financing, leverage, or broker execution model."
intraday_orb,Intraday ORB,blocked_family,intraday_opening_range_breakout,opening_range_breakout,blocked,False,blocked_by_gate,True,3000,[],gate memo only,unknown until gate approved,"daily bars cannot model intraday fills, spreads, queue, or stops",create_gate0_memo,"['implement_strategy', 'run_backtest', 'download_data', 'promote_to_real_money']",Reported but not run.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,blocked_by_gate,"Current daily bars cannot model intraday fills, spreads, queue, or stop behavior.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Current daily bars cannot model intraday fills, spreads, queue, or stop behavior."
volatility_products,Volatility Products,blocked_family,volatility_products,volatility_products,blocked,False,blocked_by_gate,True,3000,[],gate memo only,unknown until gate approved,"no product mechanics, decay, roll-yield, path-dependency, or event-risk model",create_gate0_memo,"['implement_strategy', 'run_backtest', 'download_data', 'promote_to_real_money']",Reported but not run.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,blocked_by_gate,"No product mechanics, decay, roll-yield, path-dependency, or event-risk model.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No product mechanics, decay, roll-yield, path-dependency, or event-risk model."
event_news_momentum,Event News Momentum,blocked_family,event_news_momentum,event_news_momentum,blocked,False,blocked_by_gate,True,3000,[],gate memo only,unknown until gate approved,no point-in-time event timestamps or reliable historical event data,create_gate0_memo,"['implement_strategy', 'run_backtest', 'download_data', 'promote_to_real_money']",Reported but not run.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,blocked_by_gate,No point-in-time event timestamps or reliable historical event data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No point-in-time event timestamps or reliable historical event data.
