experiment_id,display_name,experiment_type,family_group,strategy_family,evidence_tier,run_allowed,implementation_status,independent_account,starting_equity,underlying_components,rule_source,expected_profit_mechanism,main_risk,allowed_next_action,forbidden_next_actions,notes,run_id,run_status,status_notes,blocked_reason
SPY_GLD_IEF_dual_momentum_v1,SPY GLD IEF Dual Momentum,strategy_variant,multi_asset_etf,dual_momentum,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['SPY', 'GLD', 'IEF', 'BIL']",predeclared 126-day return and 200-day SMA filter,rotate to strongest liquid ETF family,whipsaw and defensive drag,run_profit_exploration,"['tune_lookback', 'tune_sma_length', 'grid_search', 'promote_to_real_money']","Monthly rebalance, top asset only, no leverage.",20260602_145735,completed,completed from cached adjusted ETF prices,
multi_asset_top2_momentum_v1,Multi-Asset Top 2 Momentum,strategy_variant,multi_asset_etf,cross_asset_momentum,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['SPY', 'GLD', 'IEF', 'BIL']",predeclared top-2 126-day return and 200-day SMA filter,diversify between top positive ETF trends,diluted upside and trend whipsaw,run_profit_exploration,"['tune_lookback', 'tune_number_of_assets', 'tune_sma_length', 'grid_search', 'promote_to_real_money']","Monthly rebalance, top 2 equally if valid, unused weight to BIL.",20260602_145735,completed,completed from cached adjusted ETF prices,
GLD_SPY_rotation_v1,GLD SPY Rotation,strategy_variant,multi_asset_etf,relative_momentum_rotation,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['GLD', 'SPY', 'BIL']",predeclared GLD versus SPY 126-day return with 200-day SMA filter,rotate between gold and equity regimes,whipsaw and concentration,run_profit_exploration,"['tune_lookback', 'tune_sma_length', 'grid_search', 'promote_to_real_money']","Monthly rebalance, no leverage.",20260602_145735,completed,completed from cached adjusted ETF prices,
combo_SPY200d_GLD_50_50_v1,Combo SPY200d GLD 50/50,fixed_combination,fixed_combination_etf,fixed_weight_combination,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['SPY_200d_trend_model', 'GLD_buy_hold']",predeclared 50/50 monthly combination,combine equity trend and gold upside,combination may dilute upside or inherit GLD drawdown,run_profit_exploration,"['tune_weights', 'promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']","Independent experiment account, not allocation advice.",20260602_145735,completed,completed from cached adjusted ETF prices,
combo_SPY200d_GLD_BIL_60_30_10_v1,Combo SPY200d GLD BIL 60/30/10,fixed_combination,fixed_combination_etf,fixed_weight_combination,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['SPY_200d_trend_model', 'GLD_buy_hold', 'BIL_cash_proxy']",predeclared 60/30/10 monthly combination,"combine equity trend, gold upside, and cash ballast",too slow if cash dilutes upside,run_profit_exploration,"['tune_weights', 'promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']","Independent experiment account, not allocation advice.",20260602_145735,completed,completed from cached adjusted ETF prices,
combo_SPY200d_crypto_tsmom_90_10_v1,Combo SPY200d Crypto TSMOM 90/10,fixed_combination,fixed_combination_crypto_satellite,fixed_weight_combination,tier1_exploratory,true_only_with_include_crypto_exploratory,implemented_exploratory,True,3000,"['SPY_200d_trend_model', 'crypto_time_series_momentum']",predeclared 90/10 exploratory combination,small crypto momentum satellite plus ETF trend core,crypto evidence is Tier 1 and not candidate-grade,run_profit_exploration,"['tune_crypto_weight', 'promote_to_real_money', 'treat_as_validated', 'add_broker_integration']",Crypto-containing row is Tier 1 only and excluded by default.,20260602_145735,incomplete_evidence,crypto optional row is Tier 1; profit exploration imports no raw crypto data and does not rerun crypto exploration,
crypto_time_series_momentum,Crypto Time Series Momentum,exploratory_family,crypto_spot_momentum,time_series_momentum,tier1_exploratory,true_only_with_include_crypto_exploratory,implemented_exploratory,True,3000,['existing crypto exploratory lane'],existing crypto exploratory evidence only,high-volatility crypto trend continuation,"Tier 1 non-final evidence, execution/data limitations",audit_harden,"['promote_to_real_money', 'treat_as_validated', 'add_broker_integration', 'crypto_leverage']",Optional cache-only import from existing exploratory evidence.,20260602_145735,incomplete_evidence,crypto optional row is Tier 1; profit exploration imports no raw crypto data and does not rerun crypto exploration,
crypto_buy_hold_equal_weight,Crypto Buy Hold Equal Weight,exploratory_family,crypto_spot_buy_hold,buy_and_hold,tier1_exploratory,true_only_with_include_crypto_exploratory,implemented_exploratory,True,3000,['existing crypto exploratory lane'],existing crypto exploratory evidence only,high-volatility crypto beta,"Tier 1 non-final evidence, large drawdown and stop risk",audit_harden,"['promote_to_real_money', 'treat_as_validated', 'add_broker_integration', 'crypto_leverage']",Optional cache-only import from existing exploratory evidence.,20260602_145735,incomplete_evidence,crypto optional row is Tier 1; profit exploration imports no raw crypto data and does not rerun crypto exploration,
individual_stock_momentum,Individual Stock Momentum,blocked_family,individual_stock_momentum,momentum,blocked,False,blocked_by_gate,True,3000,[],gate memo only,unknown until gate approved,no survivorship-free data or delisting treatment,continue_vendor_review,"['implement_strategy', 'run_backtest', 'download_data', 'promote_to_real_money']",Reported but not run.,20260602_145735,blocked_by_gate,Gate 1A continue_defer; no survivorship-free data/delisting treatment.,Gate 1A continue_defer; no survivorship-free data/delisting treatment.
options_directional,Options Directional,blocked_family,options_directional,options_directional,blocked,False,blocked_by_gate,True,3000,[],gate memo only,unknown until gate approved,"missing option-chain, bid/ask, IV, exercise/assignment, margin, and fill model",create_gate0_memo,"['implement_strategy', 'run_backtest', 'download_data', 'promote_to_real_money']",Reported but not run.,20260602_145735,blocked_by_gate,"No option-chain, bid/ask, IV, Greeks, assignment/exercise, margin, or spread-fill model.","No option-chain, bid/ask, IV, Greeks, assignment/exercise, margin, or spread-fill model."
options_premium,Options Premium,blocked_family,options_premium,options_premium,blocked,False,blocked_by_gate,True,3000,[],gate memo only,unknown until gate approved,"missing option-chain, margin, assignment, tail-risk, and realistic fills",create_gate0_memo,"['implement_strategy', 'run_backtest', 'download_data', 'promote_to_real_money']",Reported but not run.,20260602_145735,blocked_by_gate,"No option-chain, margin, assignment, tail-risk, or realistic fill model.","No option-chain, margin, assignment, tail-risk, or realistic fill model."
futures_trend_following,Futures Trend Following,blocked_family,futures_trend_following,trend_following,blocked,False,blocked_by_gate,True,3000,[],gate memo only,unknown until gate approved,"no continuous contract, roll, margin, leverage, or gap model",create_gate0_memo,"['implement_strategy', 'run_backtest', 'download_data', 'promote_to_real_money']",Reported but not run.,20260602_145735,blocked_by_gate,"No continuous contract, roll, margin, leverage, or gap model.","No continuous contract, roll, margin, leverage, or gap model."
forex_momentum_carry,Forex Momentum Carry,blocked_family,forex_momentum_carry,momentum_carry,blocked,False,blocked_by_gate,True,3000,[],gate memo only,unknown until gate approved,"no spread, financing, leverage, or broker execution model",create_gate0_memo,"['implement_strategy', 'run_backtest', 'download_data', 'promote_to_real_money']",Reported but not run.,20260602_145735,blocked_by_gate,"No spread, financing, leverage, or broker execution model.","No spread, financing, leverage, or broker execution model."
intraday_orb,Intraday ORB,blocked_family,intraday_opening_range_breakout,opening_range_breakout,blocked,False,blocked_by_gate,True,3000,[],gate memo only,unknown until gate approved,"daily bars cannot model intraday fills, spreads, queue, or stops",create_gate0_memo,"['implement_strategy', 'run_backtest', 'download_data', 'promote_to_real_money']",Reported but not run.,20260602_145735,blocked_by_gate,"Current daily bars cannot model intraday fills, spreads, queue, or stop behavior.","Current daily bars cannot model intraday fills, spreads, queue, or stop behavior."
volatility_products,Volatility Products,blocked_family,volatility_products,volatility_products,blocked,False,blocked_by_gate,True,3000,[],gate memo only,unknown until gate approved,"no product mechanics, decay, roll-yield, path-dependency, or event-risk model",create_gate0_memo,"['implement_strategy', 'run_backtest', 'download_data', 'promote_to_real_money']",Reported but not run.,20260602_145735,blocked_by_gate,"No product mechanics, decay, roll-yield, path-dependency, or event-risk model.","No product mechanics, decay, roll-yield, path-dependency, or event-risk model."
event_news_momentum,Event News Momentum,blocked_family,event_news_momentum,event_news_momentum,blocked,False,blocked_by_gate,True,3000,[],gate memo only,unknown until gate approved,no point-in-time event timestamps or reliable historical event data,create_gate0_memo,"['implement_strategy', 'run_backtest', 'download_data', 'promote_to_real_money']",Reported but not run.,20260602_145735,blocked_by_gate,No point-in-time event timestamps or reliable historical event data.,No point-in-time event timestamps or reliable historical event data.
